Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-01-03,115.8,116.33,114.76,116.15,28781865.0,0.0,1.0,112.27457037263184,112.78843498659984,111.26623226220406,112.61391492902581,28781865.0
2017-01-04,115.85,116.51,115.75,116.02,21118116.0,0.0,1.0,112.3230481664024,112.96295504417388,112.22609257886127,112.48787266522233,21118116.0
2017-01-05,115.92,116.8642,115.81,116.61,22193587.0,0.0,1.0,112.3909170776812,113.30637173524457,112.28426593138596,113.05991063171501,22193587.0
2017-01-06,116.78,118.16,116.47,117.91,31751900.0,0.0,1.0,113.22473513053494,114.56272223860257,112.92417280915743,114.32033326974974,31751900.0
2017-01-09,117.95,119.43,117.94,118.99,33561948.0,0.0,1.0,114.3591155047662,115.79405820037496,114.34941994601208,115.36745361519397,33561948.0
2017-01-10,118.77,119.38,118.3,119.11,24462051.0,0.0,1.0,115.15415132260348,115.74558040660439,114.69846006116016,115.48380032024333,24462051.0
2017-01-11,118.74,119.93,118.6,119.75,27588593.0,0.0,1.0,115.12506464634114,116.27883613808064,114.98932682378356,116.10431608050659,27588593.0
2017-01-12,118.895,119.3,118.21,119.25,27086220.0,0.0,1.0,115.2753458070299,115.66801593657148,114.61120003237313,115.61953814280092,27086220.0
2017-01-13,119.11,119.62,118.81,119.04,26111948.0,0.0,1.0,115.48380032024333,115.97827381670312,115.19293355761994,115.41593140896455,26111948.0
2017-01-17,118.34,120.24,118.22,120.0,34439843.0,0.0,1.0,114.73724229617662,116.57939845945813,114.62089559112725,116.34670504935941,34439843.0
2017-01-18,120.0,120.5,119.71,119.99,23712961.0,0.0,1.0,116.34670504935941,116.83148298706509,116.06553384549012,116.3370094906053,23712961.0
2017-01-19,119.4,120.09,119.37,119.78,25597291.0,0.0,1.0,115.76497152411262,116.43396507814644,115.73588484785029,116.13340275676893,25597291.0
