Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-02-02,63.25,63.41,62.75,63.17,45827013.0,0.0,1.0,60.81976522769237,60.97361759822882,60.33897656976595,60.742839042424144,45827013.0
2017-02-03,63.5,63.7,63.07,63.68,30301759.0,0.0,1.0,61.06015955665558,61.25247501982615,60.64668131083886,61.23324347350909,30301759.0
2017-02-06,63.5,63.65,63.14,63.64,19796360.0,0.0,1.0,61.06015955665558,61.2043961540335,60.713991722948556,61.19478038087498,19796360.0
2017-02-07,63.74,63.78,63.23,63.43,20277226.0,0.0,1.0,61.29093811246027,61.32940120509438,60.800533681375306,60.99284914454588,20277226.0
2017-02-08,63.57,63.81,63.22,63.34,18096358.0,0.0,1.0,61.12746996876528,61.358248524569966,60.790917908216784,60.90630718611913,18096358.0
2017-02-09,63.52,64.435,63.32,64.06,22644443.0,0.0,1.0,61.07939110297264,61.95923434697799,60.88707563980207,61.59864285353318,22644443.0
2017-02-10,64.25,64.3,63.975,64.0,18170729.0,0.0,1.0,61.781342543545215,61.829421409337854,61.516908781685686,61.540948214582,18170729.0
2017-02-13,64.24,64.86,64.13,64.72,22920101.0,0.0,1.0,61.77172677038668,62.36790470621545,61.66595326564287,62.23328388199605,22920101.0
2017-02-14,64.41,64.72,64.02,64.57,23108426.0,0.39,1.0,62.30928080561786,62.60917021797218,61.932000577172104,62.46406243780073,23108426.0
2017-02-15,64.5,64.57,64.155,64.53,17005157.0,0.0,1.0,62.39634547372073,62.46406243780073,62.06259757932641,62.425367029755016,17005157.0
2017-02-16,64.74,65.24,64.44,64.52,20546345.0,0.0,1.0,62.628517921995034,63.112210522566514,62.33830236165215,62.415693177743584,20546345.0
2017-02-17,64.47,64.69,64.3,64.62,21248818.0,0.0,1.0,62.367323917686434,62.58014866193788,62.202868433492135,62.512431697857885,21248818.0
2017-02-21,64.61,64.95,64.45,64.49,20655869.0,0.0,1.0,62.50275784584645,62.83166881423506,62.34797621366358,62.38667162170929,20655869.0
2017-02-22,64.33,64.39,64.05,64.36,19292651.0,0.0,1.0,62.23188998952642,62.289933101595004,61.96102213320639,62.26091154556071,19292651.0
2017-02-23,64.42,64.7285,64.195,64.62,20273128.0,0.0,1.0,62.31895465762929,62.61739299218189,62.10129298737212,62.512431697857885,20273128.0
2017-02-24,64.53,64.8,64.135,64.62,21796800.0,0.0,1.0,62.425367029755016,62.68656103406361,62.04324987530355,62.512431697857885,21796800.0
2017-02-27,64.54,64.54,64.045,64.23,15871507.0,0.0,1.0,62.435040881766454,62.435040881766454,61.95618520720068,62.13515146941213,15871507.0
2017-02-28,64.08,64.2,63.76,63.98,23239825.0,0.0,1.0,61.990043689240686,62.10612991337784,61.680480424874936,61.893305169126386,23239825.0
2017-03-01,64.13,64.99,64.0218,64.94,26937459.0,0.0,1.0,62.03841294929783,62.87036422228077,61.93374187053416,62.82199496222363,26937459.0
2017-03-02,64.69,64.75,63.88,64.01,24539597.0,0.0,1.0,62.58014866193788,62.638191774006465,61.7965666490121,61.92232672516068,24539597.0
2017-03-03,63.99,64.28,63.62,64.25,18139405.0,0.0,1.0,61.902979021137824,62.18352072946928,61.545046496714924,62.154499173434985,18139405.0
2017-03-06,63.97,64.56,63.81,64.27,18750255.0,0.0,1.0,61.88363131711496,62.4543885857893,61.72884968493209,62.17384687745784,18750255.0
2017-03-07,64.19,64.775,64.19,64.4,18520987.0,0.0,1.0,62.09645606136641,62.662376404035044,62.09645606136641,62.299606953606435,18520987.0
2017-03-08,64.26,65.085,64.25,64.99,21510907.0,0.0,1.0,62.16417302544642,62.96226581638935,62.154499173434985,62.87036422228077,21510907.0
2017-03-09,65.19,65.2,64.48,64.73,19846832.0,0.0,1.0,63.063841262509364,63.0735151145208,62.37699776969787,62.61884406998361,19846832.0
